Station Codes,Station Name,Latitude,Longitude
AHNR,Adarsh Nagar Metro Station,28.716499,77.170505
AIIM,AIIMS Metro Station,28.566828,77.20812
ASDM,Akshardham Metro Station,28.618002,77.279372
AVIT,Anand Vihar Metro Station,28.646989,77.316019
AJG,Arjan Garh Metro Station,28.480793,77.125775
AZU,Azadpur Metro Station,28.707011,77.180542
BAPU,Badarpur Border Metro Station,28.493215,77.303001
BRKR,Barakhambha Road Metro Station,28.629907,77.224159
BCGN,Botanical Garden Metro Station,28.56404,77.334269
CTST,Central Secretariat Metro Station,28.615214,77.211978
CHK,Chandni Chowk Metro Station,28.657847,77.230144
CWBR,Chawri Bazar Metro Station,28.649407,77.226324
CHTP,Chhatarpur Metro Station,28.506783,77.174892
CL,Civil Lines Metro Station,28.676973,77.224975
DSG,Dhaula Kuan Metro Station,28.591853,77.16169
DW,Dwarka Metro Station,28.619365,77.033148
DM,Dwarka Mor Metro Station,28.619365,77.033148
DSTN,Dwarka Sector 10 Metro Station,28.581097,77.057481
DSE,Dwarka Sector 11 Metro Station,28.586496,77.049385
DSW,Dwarka Sector 12 Metro Station,28.592281,77.04066
DSTN,Dwarka Sector 13 Metro Station,28.597139,77.033463
DSFN,Dwarka Sector 14 Metro Station,28.602238,77.025996
DWTO,Dwarka Sector 21 Metro Station,28.552322,77.058383
DWET,Dwarka Sector 8 Metro Station,28.565622,77.067015
DSN,Dwarka Sector 9 Metro Station,28.574448,77.065171
GTNI,Ghitorni Metro Station,28.493788,77.149146
GEC,Golf Course Metro Station,28.567175,77.345992
GDPI,Govind Puri Metro Station,28.544606,77.264287
GNPK,Green Park Metro Station,28.559823,77.206831
GTBR,GTB Nagar Metro Station,28.697837,77.206944
GEC,Guru Dronacharya Metro Station,28.48212,77.10222
OK,Harkesh Nagar Okhla Metro Station,28.54292,77.27514
HKS,Hauz Khas Metro Station,28.543444,77.206344
HCC,HUDA City Centre Metro Station,28.459269,77.072419
IFOC,IFFCO Chowk Metro Station,28.472165,77.072512
INA,INA Metro Station,28.57522,77.2095
ILOK,Inderlok Metro Station,28.673512,77.170212
IDPT,Indraprastha Metro Station,28.620528,77.249878
JGPI,Jahangirpuri Metro Station,28.725833,77.162752
JPE,Janakpuri East Metro Station,28.633125,77.086575
JPW,Janakpuri West Metro Station,28.629409,77.077762
JGPA,Jangpura Metro Station,28.583287,77.239605
JANP,Janpath Metro Station,28.625363,77.219339
JLA,Jasola Apollo Metro Station,28.538291,77.283255
JLNS,Jawaharlal Nehru Stadium Metro Station,28.589363,77.233562
JW,Jhandewalan Metro Station,28.644357,77.199825
JLML,Jhilmil Metro Station,28.675799,77.312419
JB,Jor Bagh Metro Station,28.586251,77.212239
KHCY,Kailash Colony Metro Station,28.555433,77.241982
KJMD,Kalkaji Mandir Metro Station,28.54941,77.259288
